time,signal,entry,tp,sl,status
2025-03-26 01:00:00+00:00,BUY,1.07862,1.0796199999999998,1.07792,tp
2025-03-30 22:00:00+00:00,BUY,1.08142,1.08242,1.0807200000000001,tp
2025-04-02 18:30:00+00:00,SELL,1.08542,1.0844200000000002,1.08612,sl
2025-04-03 13:00:00+00:00,SELL,1.10942,1.1084200000000002,1.11012,sl
2025-04-08 22:30:00+00:00,SELL,1.09684,1.0958400000000001,1.09754,sl
2025-04-09 23:30:00+00:00,BUY,1.0951,1.0960999999999999,1.0944,tp
2025-04-10 12:30:00+00:00,SELL,1.10973,1.1087300000000002,1.11043,sl
2025-04-15 16:30:00+00:00,BUY,1.12743,1.1284299999999998,1.12673,tp
2025-04-15 18:30:00+00:00,BUY,1.12736,1.1283599999999998,1.12666,tp
2025-04-17 23:00:00+00:00,SELL,1.13715,1.1361500000000002,1.13785,sl
2025-04-22 17:30:00+00:00,BUY,1.14504,1.14604,1.1443400000000001,tp
2025-04-22 20:30:00+00:00,BUY,1.14209,1.14309,1.1413900000000001,tp
2025-04-23 19:30:00+00:00,BUY,1.13275,1.1337499999999998,1.13205,tp
2025-04-30 23:00:00+00:00,BUY,1.13243,1.13343,1.1317300000000001,tp
2025-05-01 15:30:00+00:00,BUY,1.12794,1.1289399999999998,1.12724,tp
2025-05-08 20:00:00+00:00,BUY,1.1228,1.1238,1.1221,tp
2025-05-13 18:00:00+00:00,SELL,1.11789,1.1168900000000002,1.11859,sl
2025-05-14 15:00:00+00:00,BUY,1.12081,1.12181,1.1201100000000002,tp
2025-05-14 19:00:00+00:00,BUY,1.11758,1.11858,1.11688,tp
2025-05-14 21:30:00+00:00,BUY,1.11777,1.1187699999999998,1.11707,tp
2025-05-20 22:30:00+00:00,SELL,1.1281,1.1271000000000002,1.1288,sl
2025-05-28 16:30:00+00:00,BUY,1.1294,1.1303999999999998,1.1287,tp
2025-05-29 14:00:00+00:00,SELL,1.13493,1.13393,1.13563,sl
2025-05-29 16:30:00+00:00,SELL,1.13715,1.1361500000000002,1.13785,sl
2025-06-12 11:00:00+00:00,SELL,1.15935,1.1583500000000002,1.16005,tp
2025-06-12 13:30:00+00:00,SELL,1.1585,1.1575000000000002,1.1592,tp
2025-06-17 20:00:00+00:00,BUY,1.1484,1.1494,1.1477000000000002,tp
