time,pair,signal,entry,tp,sl,score,reason
2025-03-24 12:00:00+00:00,USDJPY,BUY,149.816,149.916,149.746,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 13:30:00+00:00,USDJPY,BUY,150.24,150.34,150.17000000000002,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 14:30:00+00:00,USDJPY,BUY,150.472,150.572,150.40200000000002,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 15:30:00+00:00,USDJPY,BUY,150.74,150.84,150.67000000000002,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 17:30:00+00:00,USDJPY,BUY,150.608,150.708,150.538,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 19:00:00+00:00,USDJPY,BUY,150.584,150.684,150.514,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 20:00:00+00:00,USDJPY,BUY,150.676,150.77599999999998,150.606,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-24 21:00:00+00:00,USDJPY,BUY,150.69,150.79,150.62,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-25 11:00:00+00:00,USDJPY,SELL,150.136,150.036,150.206,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-25 12:00:00+00:00,USDJPY,SELL,150.088,149.988,150.158,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-25 13:00:00+00:00,USDJPY,SELL,149.796,149.696,149.86599999999999,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-25 14:30:00+00:00,USDJPY,SELL,149.728,149.62800000000001,149.798,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-25 16:00:00+00:00,USDJPY,SELL,149.759,149.659,149.82899999999998,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-25 17:00:00+00:00,USDJPY,SELL,149.746,149.64600000000002,149.816,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-26 00:30:00+00:00,USDJPY,BUY,150.176,150.27599999999998,150.106,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-26 11:00:00+00:00,USDJPY,SELL,150.181,150.08100000000002,150.251,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-26 12:00:00+00:00,USDJPY,SELL,150.134,150.034,150.20399999999998,3,MACD 강도 통과; EMA 하락추세; 캔들 음봉
2025-03-26 13:00:00+00:00,USDJPY,BUY,150.444,150.54399999999998,150.374,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-26 14:00:00+00:00,USDJPY,BUY,150.498,150.59799999999998,150.428,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
2025-03-26 15:00:00+00:00,USDJPY,BUY,150.666,150.766,150.596,3,MACD 강도 통과; EMA 상승추세; 캔들 양봉
